Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	silencingRate	clockRate.c	birthRate	rho	deathRate
5590000	-116.63230778546175	-80.93751897646897	-35.69478880899278	-80.93751897646897	48.33406028448332	0.18364598471796095	0.6416283104386535	0.052128512051814895	0.012314328179733311	0.015579644045248073	0.07024071492593555	0.012139735543184905	0.01232277009746905	0.0	0.01746562491783039	0.5430979953627533	1.0	0.57209088202442
5600000	-125.83859707460707	-82.5588706108432	-43.279726463763865	-82.5588706108432	43.603682960979995	0.18364598471796095	0.6416283104386535	0.05205907230573597	0.012314328179733311	0.015579644045248073	0.07031015467201447	0.012139735543184905	0.01232277009746905	0.0	0.03239054027920559	0.7750052975081765	1.0	0.7633735467629875
5610000	-123.6890236264528	-79.1576189303701	-44.53140469608269	-79.1576189303701	48.468762850380685	0.11528441114117148	0.7145841045621899	0.05205907230573597	0.012314328179733311	0.015579644045248073	0.06571593412526759	0.012139735543184905	0.01232277009746905	0.0	0.0318755594597391	0.5345433406529783	1.0	0.6272920361504879
5620000	-111.75194703423475	-78.29605348175112	-33.45589355248362	-78.29605348175112	43.38102726476293	0.11528441114117148	0.7156840920312993	0.03154080370741858	0.012314328179733311	0.06606288334171181	0.01523269482880385	0.03155801667239291	0.01232277009746905	0.0	0.026131294397005806	0.32982172209080035	1.0	0.3698092170581563
5630000	-118.6769337603881	-81.45640209199574	-37.220531668392354	-81.45640209199574	47.71426533656805	0.06432196506946994	0.7238311506151662	0.05307835723498397	0.012314328179733311	0.06606288334171181	0.01523269482880385	0.03155801667239291	0.03360060405773832	0.0	0.032596016934727225	0.283104923702792	1.0	0.2947044393708367
5640000	-116.9941579224596	-78.68460420898121	-38.309553713478394	-78.68460420898121	49.61152300159388	0.06432196506946994	0.7238311506151662	0.05307835723498397	0.012314328179733311	0.06606288334171181	0.01523269482880385	0.03155801667239291	0.03360060405773832	0.0	0.0321507048212516	0.11626814507352233	1.0	0.0938601839248226
5650000	-121.38702327039483	-79.38152504927308	-42.005498221121755	-79.38152504927308	38.56396601482387	0.33184008186618846	0.4624303547953891	0.047830051286026194	0.012314328179733311	0.06606288334171181	0.0091153738518625	0.03155801667239291	0.038848910006696095	0.0	0.023583294261108563	0.24970698947417283	1.0	0.1874415508478954
5660000	-121.67340166012441	-79.26122121383288	-42.41218044629153	-79.26122121383288	44.51472558663817	0.29661270846302457	0.4624303547953891	0.047830051286026194	0.012314328179733311	0.06606288334171181	0.0091153738518625	0.03155801667239291	0.07407628340986	0.0	0.028397472961513664	0.12820244502286154	1.0	0.12159779478454183
5670000	-116.98145247560501	-75.25937069206284	-41.72208178354217	-75.25937069206284	38.33593747457608	0.28765065003745116	0.4386077384092891	0.044735442636316104	0.10118608117696411	0.06606288334171181	0.014957167714539706	0.03155801667239291	0.015242020011335511	0.0	0.018176925505123256	0.13604786541875988	1.0	0.1402386264795894
5680000	-116.88048557434118	-75.69382152088635	-41.186664053454834	-75.69382152088635	48.46893829131988	0.28765065003745116	0.3227557907426385	0.044735442636316104	0.035182690085547905	0.15881546339291314	0.014957167714539706	0.12066077537925843	0.015242020011335511	0.0	0.021287866715257314	0.24744958333486505	1.0	0.22352992955781617
5690000	-124.88144526294977	-78.93839133174787	-45.9430539312019	-78.93839133174787	50.16390923767557	0.28765065003745116	0.3204275487892269	0.1479448115518581	0.05226860643413071	0.05793433643078273	0.015814041831102663	0.047539204103735605	0.07042080082171256	0.0	0.040756695100059026	0.19823791314789926	1.0	0.17665379151221858
5700000	-120.43419476743942	-74.56961280955414	-45.86458195788528	-74.56961280955414	51.22889513789341	0.12990119115222767	0.4781770076744504	0.1479448115518581	0.06375957323732868	0.05793433643078273	0.058296057994941	0.005057187939897269	0.05892983401851459	0.0	0.025168399551956946	0.17983462973523315	1.0	0.17352672993699136
5710000	-122.4835359355034	-75.32791138519705	-47.15562455030635	-75.32791138519705	41.347839558907815	0.12990119115222767	0.29215976737970495	0.21001228455235554	0.036009483460180264	0.2096341935021792	0.058296057994941	0.005057187939897269	0.05892983401851459	0.0	0.029344618239978006	0.19995553558654963	1.0	0.22070824708262776
5720000	-120.02671336077447	-75.10443123808578	-44.922282122688685	-75.10443123808578	47.78286762021457	0.19267980284216102	0.29215976737970495	0.1194007466830341	0.036009483460180264	0.0378166860696231	0.058296057994941	0.059992560574828165	0.20364489499552796	0.0	0.025938054819018723	0.3372120991856007	1.0	0.34129158671917526
5730000	-118.23904121413817	-74.99094914845021	-43.248092065687956	-74.99094914845021	38.0805785674279	0.06993344002381904	0.39975929551770123	0.11650446845966336	0.11942034395791726	0.0378166860696231	0.1313584794012972	0.04770716684188511	0.07750011972809426	0.0	0.04434359542285262	0.1267742179082463	1.0	0.14189618059091452
5740000	-118.2954106202908	-74.0538334057492	-44.2415772145416	-74.0538334057492	34.918885061003664	0.06993344002381904	0.458536128974082	0.1901477318853656	0.049451449592512776	0.05499472019764713	0.041862330569169104	0.04770716684188511	0.08736703191551981	0.0	0.033737935014354285	0.1809904565888182	1.0	0.11583350244735725
5750000	-118.51113326613199	-73.41574698433759	-45.0953862817944	-73.41574698433759	42.33410409237187	0.07674373770265602	0.4517258312952451	0.07867615389337955	0.08491120922740039	0.1310065385547456	0.041862330569169104	0.04770716684188511	0.08736703191551981	0.0	0.02256092833141555	0.2574443187760853	1.0	0.2250243874587312
5760000	-120.65263498273158	-80.83645856508872	-39.816176417642865	-80.83645856508872	50.802279446177316	0.03933942222028388	0.5045023648289817	0.04350629896914574	0.16577339555106838	0.019067000291974917	0.09273731938114116	0.09656021499010589	0.038513983767299025	0.0	0.017516696778338572	0.20573288549745855	1.0	0.20769925606765613
5770000	-119.72849751226525	-77.02624414677241	-42.702253365492844	-77.02624414677241	46.695069242532995	0.04566923685771546	0.4755899289192621	0.15492788362416615	0.12686102985691136	0.012737185654543336	0.04914053632999732	0.09656021499010589	0.038513983767299025	0.0	0.02551545044264986	0.19464282433352162	1.0	0.19449114747463728
5780000	-118.34575113283869	-72.57449013693244	-45.771260995906246	-72.57449013693244	46.80635909187784	0.1163905070437065	0.2952560823337369	0.10349533276312593	0.0724170567285313	0.2503683686116751	0.026998453761820085	0.09656021499010589	0.038513983767299025	0.0	0.02717080805018966	0.35135990006235696	1.0	0.32067744058966585
5790000	-117.4800830715877	-73.5427018034826	-43.9373812681051	-73.5427018034826	44.24064145387334	0.28333794313555816	0.38014877375086276	0.10349533276312593	0.0724170567285313	0.019463876196791657	0.026998453761820085	0.07562457989601182	0.038513983767299025	0.0	0.024525184405209094	0.1670198198787527	1.0	0.14723759509028245
5800000	-120.15516781039435	-75.0908325798984	-45.064335230495935	-75.0908325798984	41.39352927726715	0.20715463621545238	0.42429221476148804	0.14239529598217926	0.05233072763509587	0.012603778887218853	0.04708478285525551	0.07562457989601182	0.038513983767299025	0.0	0.03052079227358267	0.08440031971476113	1.0	0.10107221391761587
5810000	-116.57125840404201	-74.39492419589624	-42.176334208145775	-74.39492419589624	39.86028090735319	0.08167978855373773	0.47020152042651425	0.16806855488821867	0.10622301072574489	0.04407710308202367	0.015611458660450689	0.07562457989601182	0.038513983767299025	0.0	0.036884557560764614	0.09496729120677343	1.0	0.08190958924845392
5820000	-120.60154848692159	-77.28509202173302	-43.316456465188566	-77.28509202173302	35.76849289247422	0.1611937723546467	0.4962040740583571	0.1019707959811921	0.09280678583186247	0.04407710308202367	0.015611458660450689	0.049622026264168964	0.038513983767299025	0.0	0.045606818287195566	0.09413934372396471	1.0	0.07964533181286838
5830000	-122.98989114219742	-80.24389808126385	-42.745993060933564	-80.24389808126385	36.04359681241324	0.23306270283645625	0.4962040740583571	0.06090463795681361	0.07409507530696381	0.035604354432524965	0.011993145377416995	0.049622026264168964	0.038513983767299025	0.0	0.053609877575410254	0.28883215896214776	1.0	0.3185116591845275
